date,username,to,replies,retweets,favorites,text,mentions,formatted_date,geo,hashtags,urls,permalink,ID,author_id,RESPONDER,suicidal?
2020-02-22 05:50:11+00:00,Braingetter,nibiru_TRUTH,0,0,17,im going to end it,,Sat Feb 22 05:50:11 +0000 2020,,,,https://twitter.com/Braingetter/status/1231093809993408512,1.23109380999341E+018,3547279636,spookperson,2
2020-02-25 03:08:51+00:00,iheartguitar,hodgavic,0,0,1,No. I’ll take my own butter and make them put it on while I watch.,,Tue Feb 25 03:08:51 +0000 2020,,,,https://twitter.com/iheartguitar/status/1232140373226450949,1.23214037322645E+018,18013014,spookperson,0
2020-02-27 20:15:37+00:00,detachment_red,ShhtCoin,1,0,1,i want to die,,Thu Feb 27 20:15:37 +0000 2020,,,,https://twitter.com/detachment_red/status/1233123541228240897,1.23312354122824E+018,7.08764283572789E+017,spookperson,2
2020-02-25 22:14:19+00:00,jil_slander,,0,6,111,"Being medicated for bipolar/depression/similar then experiencing a plain old bad mood is so disconcerting lmao ..... like ""i do not feel good but i do not want to die either"" ????????? does not compute",,Tue Feb 25 22:14:19 +0000 2020,,,,https://twitter.com/jil_slander/status/1232428636843728897,1.23242863684373E+018,900504770,spookperson,1
2020-02-25 05:38:41+00:00,ergo_praxis,,0,0,2,"It's extremely silly to mix Nicaragua, Cuba and Venezuela together. They have nothing to do with each other. Venezuela and Cuba have very different problems, and pretending the sandinistas were tyrannical is low key apologia for fascist death squads and genocidal repression.",,Tue Feb 25 05:38:41 +0000 2020,,,,https://twitter.com/ergo_praxis/status/1232178077519753216,1.23217807751975E+018,3111264209,spookperson,0
2020-02-24 17:17:40+00:00,AnaKasparian,TheYoungTurks,87,174,1775,"This is a detailed thread on the TYT Union situation. I really have nothing to add to this. Since I’m not in the Executive Team, management or the board, I’d appreciate if everyone stop demanding statements from me.",,Mon Feb 24 17:17:40 +0000 2020,,,https://twitter.com/TheYoungTurks/status/1231988475500482561,https://twitter.com/AnaKasparian/status/1231991598130565120,1.23199159813057E+018,23865382,spookperson,0
2020-02-20 03:20:08+00:00,BuzzfeedGDebord,,0,0,0,Klob acting like she didn’t clearly want to kill Pete at one point. Laws alone stopped her. They might not exit time.,,Thu Feb 20 03:20:08 +0000 2020,,,,https://twitter.com/BuzzfeedGDebord/status/1230331270640566272,1.23033127064057E+018,286826025,spookperson,0
2020-02-23 18:49:42+00:00,lyta_gold,,0,4,72,"anyway, if you’re sad because a woman you identify with, who’s had to professionally compromise in just the same way as you but isn’t reaping the rewards you were both promised—consider directing your anger at the terms of the deal, and thinking about material ways to end it",,Sun Feb 23 18:49:42 +0000 2020,,,,https://twitter.com/lyta_gold/status/1231652368921571329,1.23165236892157E+018,243887401,spookperson,0
2020-02-28 15:59:24+00:00,realhottiepants,Cfcharv,3,9,157,"2nd choice of biden and warren voters is bernie. bernie according to polling beats every candidate head to head. he leads in the polls, has the highest favorability, polls best against trump. a denial of him, if this holds up, would have nothing to do with a democratic selection",,Fri Feb 28 15:59:24 +0000 2020,,,,https://twitter.com/realhottiepants/status/1233421450452905989,1.23342145045291E+018,1648486874,spookperson,0
2020-02-24 17:09:37+00:00,internetkendra,,0,0,1,Accidentally said “I’m going to kill myself” aloud in the graphics lab and now the undergrads keep nervously glancing over at me,,Mon Feb 24 17:09:37 +0000 2020,,,,https://twitter.com/internetkendra/status/1231989571870609408,1.23198957187061E+018,4181685500,spookperson,0
2020-02-22 00:11:46+00:00,internetkendra,,3,0,8,Writing an essay on experimental typesetting but mostly just want to die,,Sat Feb 22 00:11:46 +0000 2020,,,,https://twitter.com/internetkendra/status/1231008642985365506,1.23100864298537E+018,4181685500,spookperson,1
2020-02-27 18:41:27+00:00,HammerFist3,,3,1,115,I wanna give a big birthday shoutout to my guy @100realloves He is a wonderful man &amp, friend &amp, after I tried to kill myself he stayed on my couch for like a week because I wasn’t supposed to be alone. I am grateful for you sweetie （＾－＾✿）,@100realloves,Thu Feb 27 18:41:27 +0000 2020,,,,https://twitter.com/HammerFist3/status/1233099845931536391,spookperson,0
2020-02-24 21:59:49+00:00,HammerFist3,clownpond,1,0,1,I don’t want to die yet tho I just want to get struck by lightning,,Mon Feb 24 21:59:49 +0000 2020,,,,https://twitter.com/HammerFist3/status/1232062602781614081,1.23206260278161E+018,351357724,spookperson,2
2020-02-26 14:18:54+00:00,echo_echoechoes,,1,0,3,I want to die please end my suffering,,Wed Feb 26 14:18:54 +0000 2020,,,,https://twitter.com/echo_echoechoes/status/1232671382598668288,1.23267138259867E+018,8.15582017572209E+017,spookperson,2
2020-02-28 14:27:19+00:00,bourgeoisalien,Vettiez_,6,6,75,"Exactly. And people still proudly announce they're not political. And I know Americans are not raised to be critical thinkers, and our media is basically propaganda... But still, we have the world at our fingertips, more than ever, and I'm tired of making excuses for people.",,Fri Feb 28 14:27:19 +0000 2020,,,https://twitter.com/Vettiez_/status/1233396045419290624,https://twitter.com/bourgeoisalien/status/1233398276801560576,1.23339827680156E+018,2396910715,spookperson,0
2020-02-12 01:25:49+00:00,fittedsweats,,0,0,2,"If you don't criticize (or tell the truth under oath about) Trump, you have nothing to worry about.",,Wed Feb 12 01:25:49 +0000 2020,,,,https://twitter.com/fittedsweats/status/1227403399639052288,1.22740339963905E+018,20161808,spookperson,0
2020-02-28 17:24:00+00:00,AaronCampeau,,5,4,22,"sure wish this ""novel"" coronavirus were a ""short story"" because I'm tired of reading about it!",,Fri Feb 28 17:24:00 +0000 2020,,,,https://twitter.com/AaronCampeau/status/1233442739565387776,1.23344273956539E+018,113281719,spookperson,0
