id,conversation_id,created_at,date,time,timezone,user_id,username,name,"Classification (0: non-suicidal, 1: depressed; 2: suicidal; 3: ambiguous, to be deleted)",tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.22260608749867E+018,1.22260608749867E+018,1580326980000,2020-01-30,03:43:00,CST,8.73595214732173E+017,trinitytrelfa,trin,2,feel like shit. want to die. stick a needle in my eye  pic.twitter.com/ZJBoipX4Wv,[],[],['https://pbs.twimg.com/media/EPeRvoAX0AY_kzH.jpg'],3,0,15,[],[],https://twitter.com/trinitytrelfa/status/1222606087498665986,False,,0,,,,,,,"[{'user_id': '873595214732173312', 'username': 'trinitytrelfa'}]",,,,
1.22258676316573E+018,1.22258676316573E+018,1580322373000,2020-01-30,02:26:13,CST,320342932,geminiscry,crytheyby,2,"how do i put this nicely, i want to die",[],[],[],3,47,180,[],[],https://twitter.com/geminiscry/status/1222586763165732864,False,,0,,,,,,,"[{'user_id': '320342932', 'username': 'geminiscry'}]",,,,
1.22256512704155E+018,1.22256037536909E+018,1580317215000,2020-01-30,01:00:15,CST,1.02361423914617E+018,jackieski,jackieski,2,I want to die,['upsllon'],[],[],2,0,19,[],[],https://twitter.com/Jackieski/status/1222565127041552392,False,,0,,,,,,,"[{'user_id': '1023614239146172416', 'username': 'Jackieski'}, {'user_id': '932803964806017024', 'username': 'UPSlLON'}]",,,,
1.22233112120935E+018,1.22233112120935E+018,1580261423000,2020-01-29,09:30:23,CST,9.96953822542139E+017,gnarlymae,tyrone shoelaces,2,i fucking ~don’t care~ about ~anything~ other than ~getting high~ and i ~want to die~,[],[],[],1,1,13,[],[],https://twitter.com/gnarlymae/status/1222331121209348096,False,,0,,,,,,,"[{'user_id': '996953822542139392', 'username': 'gnarlymae'}]",,,,
1.22230095522544E+018,1.22230095522544E+018,1580254231000,2020-01-29,07:30:31,CST,7.02371112974475E+017,spookywhitegrl,AARON KELLY’S BONES,2,I am anxious every waking moment of every day and it makes me want to die I don’t know how much longer I can deal with it nothing helps not a single thing,[],[],[],5,2,11,[],[],https://twitter.com/spookywhitegrl/status/1222300955225444353,False,,0,,,,,,,"[{'user_id': '702371112974475264', 'username': 'spookywhitegrl'}]",,,,
1.22226895021976E+018,1.22226895021976E+018,1580246601000,2020-01-29,05:23:21,CST,1.08418316650249E+018,dcfcjoe,𝙅𝙤𝙚 ツ🌹,2,i want to die,[],[],[],1,0,13,[],[],https://twitter.com/dcfcJoe/status/1222268950219759619,False,,0,,,,,,,"[{'user_id': '1084183166502490112', 'username': 'dcfcJoe'}]",,,,
1.22183303460277E+018,1.22182650876068E+018,1580142670000,2020-01-28,00:31:10,CST,30062959,davehill77,David Hill,2,I want to die,['jamessurowiecki'],[],[],0,0,20,[],[],https://twitter.com/davehill77/status/1221833034602774528,False,,0,,,,,,,"[{'user_id': '30062959', 'username': 'davehill77'}, {'user_id': '1219579814', 'username': 'JamesSurowiecki'}]",,,,
1.22171591848248E+018,1.22171591848248E+018,1580114748000,2020-01-27,16:45:48,CST,2668259401,ammarbfc,:/,2,"I'm deeply depressed. I don't find anything in life worth living. I'm tired of the endless cycle of getting up in the morning to do nothing. I don't know what to do anymore because frankly its driving me insane. I wake up, and i want to die.",[],[],[],11,0,10,[],[],https://twitter.com/AmmarBFC/status/1221715918482477058,False,,0,,,,,,,"[{'user_id': '2668259401', 'username': 'AmmarBFC'}]",,,,
1.2216867943385E+018,1.2216867943385E+018,1580107804000,2020-01-27,14:50:04,CST,7.72200748692169E+017,bossc4rlo,𝙢𝙤𝙣𝙘𝙖𝙧𝙡𝙤,2,i want to die,[],[],[],4,9,20,[],[],https://twitter.com/bossc4rlo/status/1221686794338496512,False,,0,,,,,,,"[{'user_id': '772200748692168705', 'username': 'bossc4rlo'}]",,,,
1.22155772594504E+018,1.22155772594504E+018,1580077031000,2020-01-27,06:17:11,CST,1.10776027887011E+018,futuredctr,🌸ズんﾑﾑ刀ﾉ🌸(Rooji's Birthday🎂),2,"Want to die💔
😭",[],[],[],5,0,11,[],[],https://twitter.com/futuredctr/status/1221557725945040896,False,,0,,,,,,,"[{'user_id': '1107760278870114304', 'username': 'futuredctr'}]",,,,
